9.879000000000000004e-01,9.912999999999999590e-01,9.860999999999999766e-01,9.701999999999999513e-01
9.768999999999999906e-01,9.848000000000000087e-01,9.741999999999999549e-01,9.520999999999999464e-01
9.593000000000000416e-01,9.683000000000000496e-01,9.580999999999999517e-01,9.175999999999999712e-01
9.424000000000000155e-01,9.500999999999999446e-01,9.361000000000000432e-01,8.846000000000000529e-01
9.096999999999999531e-01,9.266999999999999682e-01,9.077999999999999403e-01,8.409999999999999698e-01
8.807000000000000384e-01,9.062000000000000055e-01,8.753999999999999559e-01,7.879000000000000448e-01
8.371999999999999442e-01,8.687000000000000277e-01,8.356999999999999984e-01,7.438000000000000167e-01
7.996999999999999664e-01,8.215999999999999970e-01,7.916999999999999593e-01,6.953000000000000291e-01
7.510000000000000009e-01,7.809000000000000385e-01,7.468000000000000194e-01,6.411999999999999922e-01
6.998999999999999666e-01,7.350999999999999757e-01,7.014000000000000234e-01,5.861000000000000654e-01
6.420000000000000151e-01,6.805999999999999828e-01,6.457999999999999297e-01,5.418000000000000593e-01
5.985000000000000320e-01,6.475999999999999535e-01,5.956000000000000183e-01,5.016000000000000458e-01
5.400000000000000355e-01,5.761000000000000565e-01,5.581000000000000405e-01,4.562000000000000499e-01
4.922999999999999599e-01,5.259000000000000341e-01,5.061999999999999833e-01,4.271000000000000352e-01
4.524000000000000243e-01,4.743000000000000549e-01,4.592000000000000526e-01,4.008000000000000451e-01
4.090000000000000302e-01,4.254000000000000004e-01,4.162000000000000144e-01,3.659999999999999920e-01
