9.876000000000000334e-01,9.903999999999999471e-01,9.926000000000000378e-01,9.908000000000000140e-01,9.933999999999999497e-01,9.879999999999999893e-01,9.849999999999999867e-01,9.808000000000000052e-01,9.781999999999999584e-01,9.699999999999999734e-01,9.647999999999999909e-01
9.744000000000000439e-01,9.806000000000000272e-01,9.809999999999999831e-01,9.826000000000000290e-01,9.799999999999999822e-01,9.784000000000000474e-01,9.719999999999999751e-01,9.676000000000000156e-01,9.627999999999999892e-01,9.492000000000000437e-01,9.404000000000000137e-01
9.582000000000000517e-01,9.691999999999999504e-01,9.689999999999999725e-01,9.714000000000000412e-01,9.694000000000000394e-01,9.689999999999999725e-01,9.577999999999999847e-01,9.494000000000000217e-01,9.344000000000000083e-01,9.170000000000000373e-01,9.053999999999999826e-01
9.395999999999999908e-01,9.462000000000000410e-01,9.514000000000000234e-01,9.507999999999999785e-01,9.497999999999999776e-01,9.457999999999999741e-01,9.387999999999999678e-01,9.220000000000000417e-01,9.085999999999999632e-01,8.821999999999999842e-01,8.586000000000000298e-01
9.070000000000000284e-01,9.235999999999999766e-01,9.275999999999999801e-01,9.277999999999999581e-01,9.274000000000000021e-01,9.254000000000000004e-01,9.023999999999999799e-01,8.811999999999999833e-01,8.608000000000000096e-01,8.411999999999999478e-01,8.177999999999999714e-01
8.761999999999999789e-01,8.955999999999999517e-01,8.951999999999999957e-01,9.125999999999999668e-01,8.960000000000000187e-01,8.895999999999999464e-01,8.679999999999999938e-01,8.451999999999999513e-01,8.339999999999999636e-01,7.887999999999999456e-01,7.760000000000000231e-01
8.337999999999999856e-01,8.493999999999999329e-01,8.549999999999999822e-01,8.561999999999999611e-01,8.619999999999999885e-01,8.511999999999999567e-01,8.311999999999999389e-01,8.140000000000000568e-01,7.900000000000000355e-01,7.356000000000000316e-01,7.101999999999999424e-01
7.955999999999999739e-01,8.147999999999999687e-01,8.117999999999999661e-01,8.227999999999999758e-01,8.240000000000000657e-01,8.122000000000000330e-01,7.960000000000000409e-01,7.620000000000000107e-01,7.328000000000000069e-01,6.944000000000000172e-01,6.491999999999999993e-01
7.536000000000000476e-01,7.676000000000000600e-01,7.727999999999999314e-01,7.863999999999999879e-01,7.872000000000000108e-01,7.580000000000000071e-01,7.511999999999999789e-01,7.223999999999999311e-01,6.868000000000000771e-01,6.480000000000000204e-01,5.966000000000000192e-01
6.972000000000000419e-01,7.227999999999999980e-01,7.206000000000000183e-01,7.281999999999999584e-01,7.281999999999999584e-01,7.237999999999999989e-01,6.864000000000000101e-01,6.637999999999999456e-01,6.348000000000000309e-01,5.904000000000000359e-01,5.507999999999999563e-01
6.610000000000000320e-01,6.552000000000000046e-01,6.795999999999999819e-01,6.825999999999999845e-01,6.864000000000000101e-01,6.768000000000000682e-01,6.553999999999999826e-01,6.171999999999999709e-01,5.949999999999999734e-01,5.463999999999999968e-01,5.016000000000000458e-01
5.831999999999999407e-01,6.086000000000000298e-01,6.246000000000000441e-01,6.377999999999999226e-01,6.231999999999999762e-01,6.033999999999999364e-01,5.966000000000000192e-01,5.811999999999999389e-01,5.512000000000000233e-01,5.094000000000000750e-01,4.622000000000000552e-01
5.512000000000000233e-01,5.717999999999999750e-01,5.737999999999999767e-01,5.709999999999999520e-01,5.784000000000000252e-01,5.624000000000000110e-01,5.638000000000000789e-01,5.300000000000000266e-01,5.130000000000000115e-01,4.557999999999999829e-01,4.137999999999999456e-01
4.983999999999999542e-01,5.063999999999999613e-01,5.167999999999999261e-01,5.201999999999999957e-01,5.245999999999999552e-01,5.156000000000000583e-01,5.083999999999999631e-01,4.758000000000000007e-01,4.637999999999999901e-01,4.312000000000000277e-01,3.945999999999999508e-01
4.489999999999999547e-01,4.584000000000000297e-01,4.602000000000000535e-01,4.706000000000000183e-01,4.781999999999999584e-01,4.724000000000000421e-01,4.724000000000000421e-01,4.572000000000000508e-01,4.237999999999999545e-01,3.861999999999999877e-01,3.639999999999999902e-01
4.180000000000000382e-01,4.217999999999999527e-01,4.243999999999999995e-01,4.093999999999999861e-01,4.350000000000000533e-01,4.287999999999999590e-01,4.132000000000000117e-01,4.112000000000000099e-01,3.931999999999999940e-01,3.679999999999999938e-01,3.566000000000000281e-01
